,Planet_Name,SNR_Emission_15_micron,SNR_Emission_5_micron,SNR_Transmission_K_mag,Rp,Mp,Tday,Teq,log10g_p,Period,Transit_Duration,K_mag,Distance,Teff,log10g_s,Transit_Flag,Catalog_Name
88,GJ 3293 e,,,,0.14,0.010320000000000001,439.0,369.0,3.085,13.2543,,7.5,20.19,3466.0,4.78,False,nexsci
769,MOA-2011-BLG-262L b,,,,0.38,0.053,,,2.952,,,,7200.0,,,False,nexsci
1024,HD 13808 c,,,,0.28,0.03134,505.0,424.0,2.9989999999999997,53.753,,6.3,28.23,5035.0,4.58,False,nexsci
574,HD 55696 b,,,,1.16,3.87,238.0,200.0,3.853,1827.0,,6.6,77.97,6012.0,4.03,False,nexsci
132,6 Lyn b,,,,1.19,2.01,445.0,374.0,3.5460000000000003,934.3,,3.7,54.66,4938.0,3.19,False,nexsci
839,HD 216435 b,,,,1.22,1.26,288.0,243.0,3.322,1311.0,,4.6,32.98,5999.0,4.15,False,nexsci
754,KIC 10001893 b,,,,,,,,,0.2197,,16.6,1672.94,27500.0,5.35,False,nexsci
398,HD 185269 b,,,,1.23,1.01,1731.0,1456.0,3.219,6.8378,,5.3,51.99,5923.0,3.92,False,nexsci
366,HD 166724 b,,,,1.16,3.53,113.0,95.0,3.813,5144.0,,7.2,45.13,5127.0,4.43,False,nexsci
996,GJ 887 c,,,,0.24,0.02391,419.0,352.0,3.02,21.789,,3.5,3.29,3688.0,4.78,False,nexsci
692,Kapteyn c,,,,0.23,0.022000000000000002,197.0,165.0,3.025,121.54,,5.0,3.93,3550.0,4.92,False,nexsci
385,HD 178911 B b,,,,1.12,8.03,571.0,480.0,4.2,71.484,,6.4,40.97,5588.0,4.46,False,nexsci
985,OGLE-2018-BLG-0962L b,,,,1.22,1.34,,,3.3489999999999998,,,,6500.0,,,False,nexsci
501,HD 32518 b,,,,1.17,3.04,1093.0,919.0,3.741,157.54,,3.9,122.11,4580.0,2.1,False,nexsci
556,HD 45652 b,,,,1.28,0.433,605.0,508.0,2.8160000000000003,44.073,,6.3,34.85,5294.0,4.2,False,nexsci
571,HD 5319 b,,,,1.21,1.556,449.0,378.0,3.4210000000000003,637.1,,5.7,121.41,4871.0,3.26,False,nexsci
699,Kepler-19 d,,,,0.45,0.07078999999999999,,,2.9360000000000004,62.95,,10.3,218.56,5544.0,4.51,False,nexsci
649,HD 95127 b,,,,1.11,10.63,1369.0,1151.0,4.33,482.0,,5.0,676.58,4218.0,1.78,False,nexsci
358,HD 175607 b,,,,0.26,0.02825,,,3.005,29.01,,6.9,40.33,5392.0,4.64,False,nexsci
234,HD 104985 b,,,,1.12,8.3,952.0,800.0,4.215,199.505,,3.3,100.58,4877.0,2.85,False,nexsci
760,LkCa 15 c,,,,,,71.0,60.0,,,,8.2,158.15,4194.0,3.65,False,nexsci
77,GJ 273 b,,,,0.14,0.00909,346.0,291.0,3.092,18.6498,,4.9,5.92,3382.0,4.91,False,nexsci
1127,BD+60 1417 b,,,,1.31,15.0,6.0,5.0,4.336,,,7.3,44.95,4993.0,4.55,False,nexsci
221,HD 10180 h,,,,0.84,0.203,194.0,163.0,2.855,2205.0,,5.9,38.96,5911.0,4.39,False,nexsci
1112,HIP 5763 b,,,,1.27,0.51,524.0,441.0,2.8939999999999997,30.014,,6.9,31.9,4352.0,4.52,False,nexsci
763,MOA-2010-BLG-117L b,,,,1.27,0.54,,,2.9189999999999996,,,18.3,3500.0,,,False,nexsci
562,HD 47366 b,,,,1.19,2.3,620.0,522.0,3.605,359.15,,4.1,84.36,4914.0,3.1,False,nexsci
304,HD 142022 A b,,,,1.15,4.44,185.0,156.0,3.92,1928.0,,6.0,34.28,5421.0,4.35,False,nexsci
820,LSPM J2116+0234 b,,,,0.33,0.04185,442.0,371.0,2.9760000000000004,14.4399,,7.3,17.63,3475.0,4.95,False,nexsci
669,HIP 65891 b,,,,1.14,6.0,511.0,430.0,4.059,1084.5,,4.5,150.29,5000.0,2.9,False,nexsci
950,GJ 180 c,,,,0.21,0.02014,345.0,290.0,3.033,24.329,,6.6,11.94,3371.0,4.81,False,nexsci
1090,HIP 86221 b,,,,1.25,0.71,,,3.052,2.224,,6.3,29.49,,,False,nexsci
479,HD 233604 b,,,,1.13,6.575,1049.0,883.0,4.106,192.0,,8.0,847.06,4791.0,2.55,False,nexsci
61,HIP 67537 b,,,,1.11,11.1,380.0,320.0,4.349,2556.5,,4.2,116.05,4985.0,2.85,False,nexsci
1003,BD-11 4672 c,,,,0.36,0.04836,381.0,320.0,2.966,74.2,,6.9,27.17,4550.0,4.64,False,nexsci
888,HD 20781 d,,,,0.29,0.0334,677.0,569.0,2.9930000000000003,29.158,,6.6,35.97,5256.0,4.37,False,nexsci
522,HD 34445 e,,,,0.38,0.0529,758.0,638.0,2.958,49.175,,5.8,46.09,5836.0,4.21,False,nexsci
933,HIP 56640 b,,,,1.16,3.67,314.0,264.0,3.83,2574.9,,5.5,122.32,4769.0,2.91,False,nexsci
1056,HD 156668 c,,,,0.55,0.0991,197.0,166.0,2.91,811.3,,6.0,24.33,4904.0,4.55,False,nexsci
29,HD 147379 b,,,,0.52,0.08983,333.0,280.0,2.917,86.78,,5.0,10.76,4156.0,4.65,False,nexsci
851,Pr0211 b,,,,1.2,1.88,1554.0,1307.0,3.51,2.1461,,10.2,182.71,5300.0,4.51,False,nexsci
40,18 Del b,,,,1.11,10.3,516.0,434.0,4.316,993.3,,3.4,76.22,4979.0,2.82,False,nexsci
293,HD 133131 A b,,,,1.21,1.42,272.0,228.0,3.3810000000000002,649.0,,6.9,51.47,5799.0,4.39,False,nexsci
560,HD 4732 b,,,,1.19,2.37,606.0,509.0,3.6180000000000003,360.2,,3.7,54.78,4959.0,3.16,False,nexsci
1121,HD 22532 b,,,,1.19,2.12,500.0,420.0,3.569,872.6,,5.7,161.18,5038.0,3.09,False,nexsci
157,GJ 3323 c,,,,0.12,0.00727,177.0,148.0,3.112,40.54,,6.7,5.37,3159.0,,False,nexsci
483,HD 240210 b,,,,1.14,5.21,1154.0,971.0,3.997,501.75,,4.4,372.4,4297.0,2.31,False,nexsci
756,KIC 10001893 d,,,,,,,,,0.8116,,16.6,1672.94,27500.0,5.35,False,nexsci
410,HD 192699 b,,,,1.19,2.096,589.0,495.0,3.565,340.94,,4.4,71.86,5041.0,3.25,False,nexsci
506,HD 30856 b,,,,1.21,1.547,433.0,364.0,3.418,847.0,,5.7,131.2,4895.0,3.2,False,nexsci
383,HD 177830 c,,,,0.7,0.15,641.0,539.0,2.878,110.9,,4.8,62.77,4949.0,3.65,False,nexsci
1096,CD Cet b,,,,0.16,0.01243,544.0,458.0,3.07,2.2907,,7.8,8.61,3130.0,4.93,False,nexsci
777,NN Ser c,,,,1.13,7.33,,,4.1530000000000005,5573.55,,16.2,515.82,57000.0,,False,nexsci
606,HD 75289 b,,,,1.27,0.49,1740.0,1463.0,2.877,3.5093,,5.0,29.12,6117.0,4.37,False,nexsci
418,HD 200964 b,,,,1.21,1.599,507.0,426.0,3.432,606.3,,4.3,72.59,4982.0,3.22,False,nexsci
489,HD 27631 b,,,,1.21,1.494,175.0,147.0,3.403,2198.14,,6.6,50.29,5737.0,4.46,False,nexsci
589,HD 68988 b,,,,1.2,1.97,1403.0,1179.0,3.53,6.2771,,6.7,60.84,5932.0,4.4,False,nexsci
668,HIP 63242 b,,,,1.12,9.18,1181.0,993.0,4.2589999999999995,124.6,,4.4,156.46,4830.0,2.53,False,nexsci
944,OGLE-2018-BLG-0677L b,,,,0.16,0.0125,,,3.072,,,,7580.0,,,False,nexsci
503,HD 30177 b,,,,1.12,8.622,169.0,142.0,4.231,2527.83,,6.7,55.59,5607.0,4.42,False,nexsci
399,HD 187085 b,,,,1.24,0.836,273.0,229.0,3.13,1019.74,,5.9,45.9,6117.0,4.28,False,nexsci
113,OGLE-2014-BLG-1760L b,,,,1.26,0.56,,,2.9419999999999997,,,,6860.0,,,False,nexsci
815,TYC 4282-00605-1 b,,,,1.11,10.78,1528.0,1285.0,4.336,101.54,,6.8,464.13,4300.0,2.0,False,nexsci
718,ups And b,,,,1.25,0.6876,1812.0,1524.0,3.0380000000000003,4.617,,2.9,13.41,6157.0,4.13,False,nexsci
287,HD 130322 b,,,,1.22,1.15,936.0,787.0,3.282,10.7087,,6.2,31.88,5387.0,4.52,False,nexsci
598,HD 73256 b,,,,1.21,1.57,,,3.425,2.5486,,6.3,36.75,5460.0,4.41,False,nexsci
271,KMT-2018-BLG-0748L b,,,,0.8,0.19,,,2.862,,,,7300.0,,,False,nexsci
1049,HD 66428 c,,,,1.07,27.0,73.0,61.0,4.7669999999999995,39000.0,,6.7,53.28,5648.0,4.32,False,nexsci
1088,HIP 75056 A b,,,,2.0,25.0,116.0,97.0,4.19,47000.0,,7.3,125.21,8610.0,4.34,False,nexsci
738,OGLE-2005-BLG-390L b,,,,0.2,0.017,,50.0,3.036,3285.0,,,6600.0,,,False,nexsci
253,HD 114762 b,,,,1.11,10.69,614.0,517.0,4.333,83.9151,11.76,5.8,40.19,5869.0,4.18,False,nexsci
499,HD 290327 b,,,,1.18,2.43,166.0,140.0,3.636,2443.0,,7.3,56.43,5505.0,4.41,False,nexsci
15,GJ 163 c,,,,0.22,0.0214,363.0,305.0,3.028,25.6306,,7.1,15.13,3500.0,4.82,False,nexsci
540,HD 39091 b,,,,1.1,12.9,206.0,173.0,4.422,2093.07,,4.2,18.27,6037.0,4.42,False,nexsci
689,CI Tau b,,,,1.11,11.6,,,4.368,8.9891,,7.8,158.0,3807.0,,False,nexsci
927,DE CVn b,,,,1.1,12.0293,55.0,47.0,4.3919999999999995,4098.1,,8.6,30.52,3579.0,4.8,False,nexsci
201,GSC 06214-00210 b,,,,1.8,16.0,13.0,11.0,4.088,,,9.2,108.5,4200.0,4.37,False,nexsci
955,HU Aqr AB c,,,,1.15,4.5,,,3.926,4368.0,,13.6,192.2,5952.0,,False,nexsci
847,HD 31527 c,,,,0.34,0.0445,678.0,570.0,2.972,51.2053,,6.0,38.45,5898.0,4.45,False,nexsci
666,HIP 14810 c,,,,1.22,1.31,444.0,373.0,3.339,147.747,,6.8,50.48,5544.0,4.22,False,nexsci
183,GJ 649 b,,,,1.11,0.32799999999999996,141.0,118.0,2.819,598.3,,5.6,10.38,3700.0,4.76,False,nexsci
448,HD 215152 e,,,,0.13,0.00905,616.0,518.0,3.097,25.1967,,5.8,21.6,4935.0,4.4,False,nexsci
375,HD 17092 b,,,,1.11,10.13,799.0,672.0,4.309,359.9,,4.8,228.42,4326.0,3.0,False,nexsci
0,OGLE-2018-BLG-1011L b,,,,1.2,1.8,,,3.491,,,,7100.0,,,False,nexsci
417,HD 203030 b,,,,1.29,11.0,14.0,11.0,4.2139999999999995,,,6.7,39.25,5603.0,4.64,False,nexsci
1008,HD 216520 b,,,,0.28,0.03228,573.0,482.0,2.997,35.45,,5.4,19.55,5103.0,4.54,False,nexsci
930,GJ 357 c,,,,0.15,0.0107,475.0,399.0,3.083,9.1247,,6.5,9.44,3505.0,4.94,False,nexsci
521,HD 34445 d,,,,0.54,0.09699999999999999,566.0,476.0,2.9130000000000003,117.87,,5.8,46.09,5836.0,4.21,False,nexsci
889,HD 45184 c,,,,0.26,0.0277,1055.0,887.0,3.0069999999999997,13.1354,,4.9,21.95,5869.0,4.47,False,nexsci
1082,HD 80869 b,,,,1.15,4.86,203.0,171.0,3.9589999999999996,1711.7,,6.9,85.4,5837.0,4.18,False,nexsci
550,HD 4313 b,,,,1.2,1.9269999999999998,597.0,502.0,3.5210000000000004,356.21,,5.6,136.31,4943.0,3.24,False,nexsci
365,HD 1666 b,,,,1.13,6.43,519.0,436.0,4.096,270.0,,7.0,117.91,6317.0,4.06,False,nexsci
261,HD 11755 b,,,,1.14,5.63,1074.0,903.0,4.031000000000001,433.7,,3.8,235.04,4312.0,1.67,False,nexsci
654,HD 96167 b,,,,1.25,0.7170000000000001,397.0,334.0,3.056,498.04,,6.6,85.3,5733.0,3.99,False,nexsci
434,HD 20868 b,,,,1.22,1.25,246.0,207.0,3.318,380.85,,7.5,47.72,4802.0,4.26,False,nexsci
10,42 Dra b,,,,1.16,3.88,1036.0,871.0,3.8539999999999996,479.1,,2.1,90.65,4200.0,1.71,False,nexsci
1114,HD 29399 b,,,,1.21,1.57,426.0,358.0,3.425,892.7,,3.8,44.15,4845.0,3.25,False,nexsci
167,GJ 3138 b,,,,0.11,0.0056,1074.0,903.0,3.092,1.22,,7.2,28.47,3717.0,4.63,False,nexsci
665,HIP 14810 b,,,,1.16,3.9,1247.0,1048.0,3.8560000000000003,6.6739,,6.8,50.48,5544.0,4.32,False,nexsci
1037,GJ 414 A b,,,,0.23,0.02391,404.0,340.0,3.031,50.8,,5.0,11.89,4120.0,4.65,False,nexsci
