,Planet_Name,SNR_Emission_15_micron,SNR_Emission_5_micron,SNR_Transmission_K_mag,Rp,Mp,Tday,Teq,log10g_p,Period,Transit_Duration,K_mag,Distance,Teff,log10g_s,Transit_Flag,Catalog_Name
1658,Kepler-251 c,0.0,0.0,0.005,0.25,0.0255,856.0,720.0,3.015,16.514,4.1575,13.6,924.63,5526.0,4.49,True,nexsci
2611,Kepler-815 b,0.003,0.002,0.006,0.37,0.0498,1789.0,1505.0,2.9619999999999997,8.575,8.652999999999999,11.2,1259.28,5028.0,3.46,True,nexsci
3613,Kepler-1725 b,0.0,0.001,0.009000000000000001,0.25,0.0261,994.0,836.0,3.012,16.7199,3.2942,11.8,558.65,6020.0,4.39,True,nexsci
2774,Kepler-944 b,0.0,0.0,0.004,0.23,0.0233,591.0,497.0,3.0189999999999997,43.3168,4.995,13.9,1349.43,5409.0,4.54,True,nexsci
433,K2-37 c,0.001,0.004,0.032,0.24,0.0252,1119.0,941.0,3.017,6.428999999999999,2.9016,10.1,179.94,5413.0,4.52,True,nexsci
2423,Kepler-663 b,0.0,0.001,0.005,0.23,0.0229,1156.0,972.0,3.023,4.9968,2.1717,13.9,1063.09,5264.0,4.55,True,nexsci
499,K2-88 b,0.0,0.0,0.022000000000000002,0.11,0.00642,557.0,468.0,3.1189999999999998,4.6122,1.0390000000000001,11.2,110.56,3537.0,5.02,True,nexsci
12,K2-171 b,,,,0.24,0.0242,,,3.0180000000000002,5.6285,8.208,10.5,606.13,5250.0,3.95,True,nexsci
3787,KOI-4777.01,0.0,0.0,0.0,0.04,0.31212,1425.0,1199.0,5.582000000000001,0.41200000000000003,0.73,12.4,172.25,3515.0,4.77,True,nexsci
1308,Kepler-1588 b,0.0,0.0,0.005,0.07,0.00114,1232.0,1036.0,2.786,7.8493,3.736,12.4,924.14,5817.0,4.43,True,nexsci
2328,Kepler-593 b,0.0,0.0,0.006,0.26,0.0271,924.0,777.0,3.011,21.2171,5.3643,13.1,973.76,5967.0,4.39,True,nexsci
3448,HAT-P-61 b,0.075,0.062,0.024,0.9,1.057,1790.0,1506.0,3.511,1.9023,1.6580000000000001,11.1,338.84,5587.0,4.5,True,nexsci
3779,Kepler-1842 b,0.0,0.0,0.002,0.21,0.0193,1069.0,899.0,3.035,14.0264,1.2808,13.1,923.55,5970.0,4.36,True,nexsci
637,Kepler-107 b,0.001,0.001,0.005,0.14,0.011040000000000001,1896.0,1595.0,3.1639999999999997,3.18,3.633,11.1,526.0,5854.0,4.21,True,nexsci
2371,Kepler-622 b,0.0,0.0,0.01,0.19,0.0163,602.0,506.0,3.049,14.2823,2.6588,11.9,284.76,4201.0,4.67,True,nexsci
315,K2-189 c,0.0,0.003,0.022000000000000002,0.22,0.0214,1132.0,952.0,3.028,6.6792,2.7096,10.6,242.11,5519.0,4.53,True,nexsci
424,K2-32 c,0.0,0.002,0.044000000000000004,0.28,0.025490000000000002,753.0,634.0,2.906,20.6609,4.35,9.8,157.68,5271.0,4.49,True,nexsci
959,Kepler-1321 c,0.0,0.001,0.009000000000000001,0.21,0.02,1046.0,880.0,3.034,2.2265,1.7225,13.9,769.15,4094.0,4.73,True,nexsci
46,WASP-114 b,0.344,0.127,0.036000000000000004,1.34,1.7690000000000001,2412.0,2029.0,3.388,1.5488,2.7821,11.1,523.34,5940.0,4.3,True,nexsci
1622,Kepler-23 b,0.0,0.001,0.0,0.17,0.8,1487.0,1250.0,4.836,7.1073,5.1462,12.0,835.76,5760.0,4.0,True,nexsci
1354,Kepler-1623 b,0.0,0.0,0.002,0.12,0.0071400000000000005,1454.0,1223.0,3.112,4.3613,2.0580000000000003,13.2,837.48,5772.0,4.44,True,nexsci
2394,Kepler-639 b,0.0,0.001,0.008,0.21,0.0197,1236.0,1039.0,3.036,10.2142,5.8201,11.9,850.24,5896.0,4.27,True,nexsci
1572,Kepler-223 c,0.0,0.001,0.009000000000000001,0.31,0.01605,1442.0,1213.0,2.625,9.8456,5.7471,13.6,1859.71,5803.0,4.46,True,nexsci
1684,Kepler-25 c,0.002,0.009000000000000001,0.07200000000000001,0.47,0.0479,1262.0,1061.0,2.74,12.7207,2.862,9.5,243.25,6354.0,4.29,True,nexsci
1045,Kepler-1388 b,0.0,0.0,0.006999999999999999,0.23,0.0227,618.0,520.0,3.023,12.2855,3.037,13.3,453.8,4098.0,4.67,True,nexsci
1324,Kepler-15 b,0.01,0.027999999999999997,0.026000000000000002,0.96,0.66,1316.0,1107.0,3.2489999999999997,4.9428,3.2546,12.2,739.41,5515.0,4.46,True,nexsci
2575,Kepler-791 b,0.0,0.001,0.005,0.27,0.03,1252.0,1053.0,3.002,14.554,6.254,13.2,1266.34,6383.0,4.21,True,nexsci
2161,Kepler-468 b,0.0,0.006,,1.19,,625.0,526.0,,38.4788,5.0417,12.0,442.87,5498.0,4.54,True,nexsci
3434,TOI-1062 b,0.001,0.005,0.024,0.2,0.031939999999999996,1228.0,1033.0,3.2880000000000003,4.113,1.175,8.3,82.17,5328.0,4.55,True,nexsci
2275,Kepler-553 b,0.001,0.004,0.018000000000000002,0.41,0.0609,1265.0,1064.0,2.947,4.0305,2.7734,13.1,728.52,5266.0,4.55,True,nexsci
60,GJ 1132 b,,,,0.1,0.005220000000000001,695.0,584.0,3.103,1.6289,,8.3,12.61,3270.0,4.88,True,nexsci
1966,Kepler-360 b,0.0,0.0,0.003,0.15,0.0106,1704.0,1433.0,3.085,3.2897,2.3218,13.2,876.04,6053.0,4.42,True,nexsci
1757,Kepler-286 e,0.0,0.0,0.002,0.16,0.0119,707.0,595.0,3.072,29.2213,4.013999999999999,14.1,1226.85,5580.0,4.5,True,nexsci
1300,Kepler-1580 b,0.0,0.0,0.004,0.19,0.016,921.0,775.0,3.05,56.6449,15.079,11.3,1002.02,6228.0,3.94,True,nexsci
2905,WASP-104 b,0.22899999999999998,0.18100000000000002,0.07,1.14,1.272,1801.0,1514.0,3.387,1.7554,1.7621,9.9,185.93,5475.0,4.5,True,nexsci
2926,WASP-135 b,0.3,0.16399999999999998,0.046,1.3,1.9,2045.0,1720.0,3.445,1.4014,1.656,11.0,298.21,5675.0,4.47,True,nexsci
1091,Kepler-1420 b,0.0,0.0,0.002,0.11,0.00687,1021.0,858.0,3.117,6.6996,2.8310000000000004,13.8,1054.37,5187.0,4.57,True,nexsci
2893,TRAPPIST-1 e,0.0,0.0,0.098,0.08,0.00218,298.0,251.0,2.905,6.101,0.9293,10.3,12.43,2566.0,5.24,True,nexsci
2738,Kepler-915 b,0.001,0.0,0.004,0.13,0.00899,1748.0,1470.0,3.094,4.5949,3.1381,12.0,849.04,6173.0,4.24,True,nexsci
3253,WASP-148 b,0.003,0.019,0.040999999999999995,0.72,0.29100000000000004,1093.0,919.0,3.141,8.8038,3.016,10.5,246.35,5460.0,4.4,True,nexsci
257,K2-167 b,,,,0.25,0.0262,,,3.01,9.9775,,6.9,80.9,5908.0,3.88,True,nexsci
14,K2-177 b,,,,0.19,0.0161,,,3.048,14.1552,,10.6,492.17,6063.0,4.38,True,nexsci
1171,Kepler-1485 b,0.0,0.0,0.005,0.13,0.00869,964.0,811.0,3.0989999999999998,19.9158,6.191,11.7,615.66,6087.0,4.39,True,nexsci
3737,Kepler-1917 b,0.0,0.0,0.004,0.17,0.0133,878.0,739.0,3.062,12.9024,2.4459999999999997,13.5,909.04,5530.0,4.59,True,nexsci
3383,TOI-628 b,0.23600000000000002,0.17800000000000002,0.015,1.06,6.33,1882.0,1583.0,4.145,3.4096,3.7824,8.8,178.68,6250.0,4.3,True,nexsci
1470,Kepler-18 c,0.001,0.006,0.038,0.49,0.054000000000000006,1178.0,990.0,2.7460000000000004,7.6416,3.4102,11.8,433.05,5345.0,4.31,True,nexsci
202,K2-114 b,0.0,0.013000000000000001,0.009000000000000001,0.97,1.85,860.0,723.0,3.687,11.3909,3.9048,12.3,475.76,5039.0,4.51,True,nexsci
3385,KOI-1831 d,0.0,0.0,0.002,0.1,0.00702,619.0,521.0,3.2319999999999998,34.169000000000004,4.487,12.3,501.57,5233.0,4.53,True,nexsci
816,Kepler-1214 b,0.0,0.0,0.004,0.21,0.0194,735.0,618.0,3.033,18.8263,2.333,13.4,729.23,5130.0,4.57,True,nexsci
751,Kepler-1163 b,0.0,0.0,0.005,0.09,0.0034,1604.0,1349.0,2.998,6.1179,3.458,11.0,478.65,6302.0,4.26,True,nexsci
1028,Kepler-1373 b,0.001,0.0,0.003,0.1,0.00521,2678.0,2252.0,3.085,1.2912,1.855,12.8,1699.46,6299.0,4.27,True,nexsci
497,K2-86 b,0.0,0.001,0.016,0.17,0.0142,988.0,830.0,3.06,8.7768,2.75,10.9,258.7,5482.0,4.58,True,nexsci
1396,Kepler-165 b,0.0,0.001,0.008,0.21,0.0189,977.0,822.0,3.0389999999999997,8.1808,2.8689999999999998,12.8,560.88,5211.0,4.54,True,nexsci
2022,Kepler-383 b,0.0,0.0,0.004,0.12,0.007240000000000001,717.0,603.0,3.11,12.9045,3.28,12.7,470.0,4710.0,4.62,True,nexsci
1818,Kepler-306 c,0.0,0.001,0.006999999999999999,0.21,0.0193,931.0,783.0,3.035,7.2402,2.9153,13.5,775.68,4954.0,4.61,True,nexsci
555,Kepler-1018 b,0.0,0.0,0.005,0.23,0.0226,590.0,496.0,3.025,49.1014,6.3229999999999995,13.4,1010.01,5518.0,4.52,True,nexsci
2408,Kepler-652 b,0.001,0.002,0.013000000000000001,0.22,0.0213,1317.0,1107.0,3.03,4.1819999999999995,2.2165,11.7,394.55,5490.0,4.54,True,nexsci
3516,Kepler-1770 b,0.0,0.0,0.006,0.25,0.0266,909.0,765.0,3.013,16.8419,2.5751,12.6,582.94,5602.0,4.4,True,nexsci
2169,Kepler-475 b,0.001,0.003,0.017,0.22,0.0213,1278.0,1075.0,3.03,3.1055,1.7209999999999999,11.2,280.07,5009.0,4.58,True,nexsci
1563,Kepler-220 e,0.0,0.0,0.009000000000000001,0.12,0.00733,457.0,385.0,3.108,45.9027,5.1252,10.6,171.11,4632.0,4.65,True,nexsci
1962,Kepler-359 b,0.0,0.0,0.004,0.32,0.0384,887.0,746.0,2.9819999999999998,25.5632,4.685,14.5,1443.21,6248.0,4.43,True,nexsci
2074,Kepler-404 c,0.0,0.0,0.002,0.15,0.0113,885.0,745.0,3.0780000000000003,14.7512,1.25,13.5,812.52,5654.0,4.54,True,nexsci
3369,TOI-220 b,0.0,0.005,0.038,0.27,0.04342,944.0,794.0,3.1689999999999996,10.6953,2.239,8.5,90.74,5298.0,4.37,True,nexsci
1392,Kepler-1653 b,0.0,0.0,0.004,0.19,0.0168,334.0,281.0,3.0439999999999996,140.2524,6.5760000000000005,13.2,755.0,4807.0,4.62,True,nexsci
2769,Kepler-93 b,0.002,0.004,0.022000000000000002,0.14,0.0143,1398.0,1175.0,3.2569999999999997,4.7267,2.8898,8.4,95.91,5669.0,4.47,True,nexsci
399,K2-268 c,0.0,0.001,0.015,0.24,0.0242,904.0,760.0,3.0180000000000002,9.3275,2.8104,11.6,327.78,5106.0,4.58,True,nexsci
1220,Kepler-1520 b,0.04,0.02,0.037000000000000005,0.52,0.0885,1990.0,1673.0,2.918,0.6536,1.63,13.3,607.92,4677.0,4.61,True,nexsci
2431,Kepler-670 b,0.033,0.036000000000000004,,1.18,,1664.0,1400.0,,2.8165,2.5052,13.3,939.74,5709.0,4.44,True,nexsci
4,CoRoT-20 b,0.001,0.009000000000000001,0.002,0.84,4.3,1135.0,955.0,4.178999999999999,9.2429,2.2248,12.5,844.06,5880.0,4.35,True,nexsci
3523,Kepler-1723 b,0.0,0.0,0.006,0.26,0.0272,738.0,620.0,3.009,39.7529,4.9641,12.8,811.28,6072.0,4.41,True,nexsci
1748,Kepler-283 c,0.0,0.0,0.004,0.16,0.0125,323.0,271.0,3.072,92.7437,5.506,13.1,468.09,4351.0,4.72,True,nexsci
2458,Kepler-694 b,0.0,0.001,0.006,0.25,0.0259,1241.0,1044.0,3.012,6.3658,2.9721,13.5,1023.06,5700.0,4.47,True,nexsci
3675,Kepler-1315 c,0.0,0.0,0.004,0.17,0.0128,1013.0,852.0,3.0660000000000003,6.5661,1.7315,12.7,480.87,4818.0,4.48,True,nexsci
3389,K2-268 e,,,,0.12,0.00733,,801.0,3.108,6.1312,2.448,11.6,327.78,5106.0,4.58,True,nexsci
1241,Kepler-1538 b,0.0,0.0,0.003,0.25,0.0263,435.0,366.0,3.011,175.1388,10.665999999999999,13.8,1125.3,5837.0,4.42,True,nexsci
447,K2-48 b,0.0,0.0,0.01,0.2,0.0178,655.0,551.0,3.043,20.5065,3.384,11.8,313.76,4899.0,4.6,True,nexsci
15,K2-190 b,,,,0.12,0.00758,,,3.108,10.0989,4.224,9.4,160.68,5631.0,4.38,True,nexsci
